cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
26344,69902,96251,OLIRIC91S20H654B
26344,69902,91255,KRYLOW32R89D891O
26344,69902,31421,KERMAS11J99D312N
26344,69902,49845,KERMAS11J99D312N
26344,69902,84193,OLIRIC91S20H654B
26344,69902,33240,MORFEL18T72Q899R
26344,69902,67195,JACSTE10K48L184U
26344,69902,38109,WINWHY52E05N743Y
26344,69902,91456,MORFEL18T72Q899R
26344,69902,19597,HEIPAM68G88H263A
26344,69902,49126,KRYLOW32R89D891O
26344,69902,04415,HEIPAM68G88H263A
26344,69902,31329,KRYLOW32R89D891O
26344,69902,47085,KERMAS11J99D312N
26344,69902,66678,KRYLOW32R89D891O
26344,69902,51839,WINWHY52E05N743Y
26344,69902,86840,KERMAS11J99D312N
26344,69902,15499,HEIPAM68G88H263A
26344,69902,25446,KERMAS11J99D312N
26344,69902,38009,DRUFAR07C62P019J
26344,69902,15259,DRUFAR07C62P019J
26344,69902,09830,MORFEL18T72Q899R
26344,69902,22520,HEIPAM68G88H263A
26344,69902,43498,MORFEL18T72Q899R
26344,69902,22806,KERMAS11J99D312N
26344,69902,84970,HEIPAM68G88H263A
26344,69902,32042,OLIRIC91S20H654B
26344,69902,52839,JACSTE10K48L184U
26344,69902,65843,KERMAS11J99D312N
26344,69902,58800,KRYLOW32R89D891O
26344,69902,00861,JACSTE10K48L184U
26344,69902,63306,DRUFAR07C62P019J
26344,69902,15573,DRUFAR07C62P019J
26344,69902,26904,KRYLOW32R89D891O
26344,69902,24444,JACSTE10K48L184U
26344,69902,60599,WINWHY52E05N743Y
26344,69902,76708,JACSTE10K48L184U
26344,69902,38997,OLIRIC91S20H654B
26344,69902,58340,WINWHY52E05N743Y
26344,69902,39750,WINWHY52E05N743Y
26344,69902,18068,MORFEL18T72Q899R
26344,69902,39272,HEIPAM68G88H263A
26344,69902,66293,MORFEL18T72Q899R
26344,69902,48149,MORFEL18T72Q899R
26344,69902,91803,KERMAS11J99D312N
26344,69902,68512,WINWHY52E05N743Y
26344,69902,76640,MORFEL18T72Q899R
26344,69902,46171,KRYLOW32R89D891O
26344,69902,35425,WINWHY52E05N743Y
26344,69902,06792,KERMAS11J99D312N
26344,69902,82722,HEIPAM68G88H263A
26344,69902,17119,MORFEL18T72Q899R
26344,69902,27913,WINWHY52E05N743Y
26344,69902,15516,HEIPAM68G88H263A
26344,69902,48928,OLIRIC91S20H654B
26344,69902,12701,WINWHY52E05N743Y
26344,69902,45671,MORFEL18T72Q899R
26344,69902,71703,KERMAS11J99D312N
26344,69902,14482,MORFEL18T72Q899R
26344,69902,51856,KERMAS11J99D312N
26344,69902,43793,HEIPAM68G88H263A
26344,69902,15198,DRUFAR07C62P019J
26344,69902,88613,MORFEL18T72Q899R
26344,69902,78504,KERMAS11J99D312N
26344,69902,01939,JACSTE10K48L184U
26344,69902,73657,JACSTE10K48L184U
26344,69902,76951,HEIPAM68G88H263A
26344,69902,04636,KERMAS11J99D312N
26344,69902,65186,HEIPAM68G88H263A
26344,69902,20580,KERMAS11J99D312N
26344,69902,59779,DRUFAR07C62P019J
26344,69902,34798,MORFEL18T72Q899R
26344,69902,50443,MORFEL18T72Q899R
26344,69902,33777,WINWHY52E05N743Y
26344,69902,11342,KRYLOW32R89D891O
26344,69902,35939,JACSTE10K48L184U
26344,69902,62453,HEIPAM68G88H263A
26344,69902,30786,OLIRIC91S20H654B
26344,69902,24045,KERMAS11J99D312N
26344,69902,99587,KERMAS11J99D312N
26344,69902,23049,WINWHY52E05N743Y
26344,69902,91896,JACSTE10K48L184U
26344,69902,76881,HEIPAM68G88H263A
26344,69902,69828,WINWHY52E05N743Y
26344,69902,90759,JACSTE10K48L184U
