cod_ann,inizio_ann,fine_ann,costo_ann,cf_acq_ann,num_serie_stru_ann,marca_stru_ann
78253,28-Dec-2018,14-May-2020,26.81,BETKEE46F54B543M,iop1s5drej,Fender
88546,01-Jan-2019,04-Dec-2019,5.02,PALCRI30C31K752K,67sthvspxq,Yamaha
65125,06-Dec-2018,02-Mar-2020,34.13,PRETHO14K35N288T,hk12ykiblj,Yamaha
03014,27-Jan-2019,20-Dec-2019,22.77,MARITS27A36Q413S,uhbqv0hukv,Selmer
98764,21-Jan-2019,24-Mar-2020,20.08,ABBKIS77E82J490R,2uws7oeg3q,Fender
06198,04-Dec-2018,03-Dec-2019,10.15,ADRFIL04O77O042N,4o4k7udj7p,Vhienna
84665,17-Jan-2019,22-Feb-2020,13.52,AYMGIA59E04S895P,acvemlvm5n,Meinl
98399,12-Jan-2019,06-Feb-2020,26.82,YVEPIT24E54B160B,a652l8prgo,Stentor
30520,03-Jan-2019,29-Oct-2019,16.58,GLYTOP83I10F364M,srsnlkudde,Gretsch
19144,08-Jan-2019,30-Jan-2020,15.57,ROSFUL03Z63E061F,76gzadcr1v,Stentor
04937,16-Dec-2018,29-Aug-2019,13.29,JASSTE52I30O283P,6ede4hhwfz,Buffet Crampon
56174,12-Dec-2018,08-Sep-2019,28.76,ROSFUL03Z63E061F,k7opih8urx,Stentor
79620,08-Dec-2018,16-Apr-2020,4.26,RUTCAR62K29O226A,avs2swzico,Vox Meister
31234,09-Jan-2019,08-Feb-2020,8.39,EDOHOW25Q26V437M,y7q5gv0weh,Sonor
26780,06-Jan-2019,04-Dec-2019,10.58,YVEPIT24E54B160B,b6lgd35weh,Yamaha
15660,04-Dec-2018,29-Mar-2020,12.64,JEFTAU18X76Z296I,abyi6kb784,Yamaha
44101,13-Dec-2018,13-Jan-2020,16.47,ADRFIL04O77O042N,7vy7g9hu2p,Gretsch
41766,02-Jan-2019,20-Jun-2020,16.24,CLABLA33X54D515J,u6xaudrh3h,Gewa
64086,28-Jan-2019,28-Apr-2020,25.39,AYMGIA59E04S895P,o4pf5kjzgf,Yamaha
18050,26-Dec-2018,23-Oct-2019,12.31,GEOEND72P73U995L,qw0s8zhtg5,""
22923,30-Dec-2018,15-Jun-2020,18.28,PRETHO14K35N288T,zc4voyfigi,Yamaha
20093,30-Jan-2019,24-Mar-2020,31.65,MARITS27A36Q413S,ywqwwk9wvu,Vhienna
68134,23-Dec-2018,26-Jan-2020,18.1,PERBAR58C77L347S,kdxls3b8d4,Yamaha
15244,11-Dec-2018,13-Mar-2020,7.11,AERBOT87Z83F388B,ek21lx9wmi,Yamaha
37684,20-Jan-2019,09-Jan-2020,16.39,ABBARM72O27F757V,aie7pzvvib,Yamaha
98587,03-Jan-2019,14-Apr-2020,30.24,EDISKI35B36I073O,hvzugj2678,Fender
61923,26-Jan-2019,03-Jan-2020,27.63,ROXLYN42I83M007V,au25ubo79f,Fender
25464,27-Jan-2019,20-May-2020,14.5,CORGAM46X60B572Z,0oxep11bix,Remo
29418,04-Dec-2018,29-Feb-2020,22.56,BEALEV72P41G636P,163v4yxgc7,Yamaha
22185,17-Dec-2018,30-May-2020,11.81,BETKEE46F54B543M,h6ebiv1za9,Selmer
11995,05-Jan-2019,21-Jul-2020,33.29,WANCAT15N81O832M,mt7p77hhz3,Vox Meister
35520,24-Dec-2018,18-Sep-2019,25.73,ELMJOR13S87D582O,9kpgbu05t6,""
65451,28-Jan-2019,30-Apr-2020,33.63,BURHES73B95J298X,4h3if0hue6,Stentor
75525,24-Dec-2018,22-Oct-2019,8.38,ASHTRA95A55T148B,kj5cltmf40,Yanagisawa
78370,02-Dec-2018,10-Jul-2020,16.38,SYBMCC53F75B259Y,9aliyr5eg0,Pearl
70855,11-Jan-2019,02-Jul-2020,12.1,MARITS27A36Q413S,0ek89nrhpy,Vhienna
67865,07-Jan-2019,06-Nov-2019,21.49,GREOEL23Q04U382J,krwzx3jcha,Vhienna
50390,02-Jan-2019,12-Apr-2020,19.76,DASALL00I34V033J,7gbdrw73vw,Sonor
59817,26-Jan-2019,07-Jul-2020,8.76,CHRFAR56F46D912F,d34bnxmxm5,Sonor
70043,11-Dec-2018,28-Oct-2019,23.57,JANPIM55E82X490S,268y8x5sfn,Ludwig
81101,11-Jan-2019,25-Jun-2020,33.93,BROWAL71X67M066J,szxso0svl1,Selmer
98492,22-Jan-2019,19-Jun-2020,26.8,ELMJOR13S87D582O,fy63ncqmb1,Yamaha
37388,03-Dec-2018,18-Apr-2020,10.07,MAIKLI69G42U727A,a6mp39h0kv,Yanagisawa
09516,01-Jan-2019,07-May-2020,29.37,SERAIT62P34B353N,jwvycrbfj3,Stentor
51137,07-Dec-2018,16-Apr-2020,13.54,DASALL00I34V033J,l5ws03b9kn,Yamaha
07765,19-Jan-2019,04-Dec-2019,25.0,KORCRE81D18W493P,hn487jsmzl,Selmer
97002,26-Dec-2018,18-Dec-2019,4.88,EDOHOW25Q26V437M,kmuohzd3lv,Yamaha
44003,28-Dec-2018,24-May-2020,9.98,JEAMAC92Q91L310J,92ms4n0406,Fender
29496,07-Dec-2018,20-Aug-2019,8.98,PERBAR58C77L347S,grnr3bq348,Pearl
64433,26-Dec-2018,01-Mar-2020,28.11,BYRSTU48C39S591H,1is6srrdby,Selmer
